Country,Region,Happiness,GDP,Support,Life_Exp,Freedom,Corruption,Generosity,Year
Australia,Australia and New Zealand,7.341,10.659,0.968,71.4,0.935,0.39,0,2005
Czech Republic,Central and Eastern Europe,6.439,10.324,0.919,67,0.865,0.901,0,2005
Hungary,Central and Eastern Europe,5.194,10.108,0.93,64.6,0.697,0.903,0,2005
Poland,Central and Eastern Europe,5.587,9.849,0.922,66.3,0.782,0.983,0,2005
Romania,Central and Eastern Europe,5.049,9.724,0.838,64,0.8,0.957,0,2005
Japan,East Asia,6.516,10.529,0.928,73.2,0.868,0.699,0,2005
Brazil,Latin America and Caribbean,6.637,9.438,0.883,63.3,0.882,0.745,0,2005
Mexico,Latin America and Caribbean,6.581,9.788,0.903,66.2,0.814,0.764,0,2005
Venezuela,Latin America and Caribbean,7.17,9.313,0.955,65.4,0.838,0.72,0,2005
Egypt,Middle East and North Africa,5.168,9.036,0.848,59.7,0.817,0,0,2005
Iran,Middle East and North Africa,5.308,9.393,0.766,62,0.651,0.636,0,2005
Jordan,Middle East and North Africa,6.295,9.246,0.92,63.5,0,0.67,0,2005
Lebanon,Middle East and North Africa,5.491,9.565,0.796,64.6,0.703,0.945,0,2005
Saudi Arabia,Middle East and North Africa,7.08,10.699,0.868,63.5,0,0.505,0,2005
Turkey,Middle East and North Africa,4.719,9.809,0.82,62.6,0.623,0.877,0,2005
Canada,North America and ANZ,7.418,10.652,0.962,71.3,0.957,0.503,0.256,2005
Pakistan,South Asia,5.225,8.218,0.591,54.2,0.63,0.844,0,2005
Belgium,Western Europe,7.262,10.745,0.935,69.9,0.924,0.598,0,2005
Denmark,Western Europe,8.019,10.851,0.972,69.6,0.971,0.237,0,2005
France,Western Europe,7.093,10.642,0.94,71.3,0.895,0.688,0,2005
Germany,Western Europe,6.62,10.689,0.963,70.2,0.847,0.781,0,2005
Greece,Western Europe,6.006,10.462,0.837,70.5,0.734,0.861,0,2005
Italy,Western Europe,6.854,10.703,0.928,71.9,0.802,0.944,0,2005
Netherlands,Western Europe,7.464,10.814,0.947,70.4,0.901,0.571,0,2005
Spain,Western Europe,7.153,10.546,0.961,71.5,0.916,0.777,0,2005
Sweden,Western Europe,7.376,10.739,0.951,71.2,0.964,0,0,2005
United Kingdom,Western Europe,6.984,10.663,0.979,69.9,0.922,0.398,0,2005
New Zealand,Australia and New Zealand,7.305,10.526,0.946,71.2,0.932,0.224,0.312,2006
Estonia,Central and Eastern Europe,5.371,10.27,0.91,64.86,0.749,0.797,-0.264,2006
Latvia,Central and Eastern Europe,4.71,10.032,0.884,63.16,0.641,0.937,-0.229,2006
Lithuania,Central and Eastern Europe,5.954,10.046,0.93,63.14,0.567,0.967,-0.295,2006
Slovakia,Central and Eastern Europe,5.265,10.015,0.954,66,0.542,0.946,-0.05,2006
Slovenia,Central and Eastern Europe,5.811,10.403,0.936,68,0.936,0.708,0.043,2006
Armenia,Commonwealth of Independent States,4.289,9.044,0.682,64.8,0.52,0.85,-0.231,2006
Azerbaijan,Commonwealth of Independent States,4.728,9.17,0.854,61.88,0.772,0.774,-0.235,2006
Belarus,Commonwealth of Independent States,5.658,9.489,0.918,61.1,0.707,0.708,-0.246,2006
Georgia,Commonwealth of Independent States,3.675,8.993,0.647,65.12,0.553,0.752,-0.267,2006
Kazakhstan,Commonwealth of Independent States,5.476,9.804,0.872,58.2,0.731,0.865,-0.274,2006
Kyrgyzstan,Commonwealth of Independent States,4.641,8.185,0.844,59.98,0.678,0.879,-0.14,2006
Moldova,Commonwealth of Independent States,5.102,8.936,0.812,60.58,0.554,0.926,-0.164,2006
Russia,Commonwealth of Independent States,4.964,9.991,0.895,58.68,0.643,0.935,-0.307,2006
Tajikistan,Commonwealth of Independent States,4.613,7.554,0.724,60.64,0.702,0.768,-0.088,2006
Ukraine,Commonwealth of Independent States,4.804,9.38,0.852,60.12,0.624,0.929,-0.257,2006
Uzbekistan,Commonwealth of Independent States,5.232,8.193,0.903,61.44,0.784,0.609,-0.115,2006
China,East Asia,4.56,8.696,0.747,66.88,0,0,0,2006
Hong Kong,East Asia,5.511,10.746,0.812,0,0.91,0.356,0.156,2006
South Korea,East Asia,5.332,10.31,0.775,70.2,0.715,0.799,-0.052,2006
Argentina,Latin America and Caribbean,6.313,9.942,0.938,66.82,0.733,0.852,-0.157,2006
Bolivia,Latin America and Caribbean,5.374,8.686,0.834,59,0.77,0.794,-0.044,2006
Chile,Latin America and Caribbean,6.063,9.85,0.836,68.66,0.744,0.634,0.168,2006
Colombia,Latin America and Caribbean,6.025,9.277,0.91,65.22,0.805,0.808,-0.015,2006
Costa Rica,Latin America and Caribbean,7.082,9.565,0.937,69.94,0.882,0.798,0.06,2006
Dominican Republic,Latin America and Caribbean,5.088,9.314,0.919,62.68,0.858,0.755,0.038,2006
Ecuador,Latin America and Caribbean,5.024,9.186,0.91,66.08,0.671,0.901,-0.091,2006
El Salvador,Latin America and Caribbean,5.701,8.873,0.878,62.92,0.683,0.807,-0.056,2006
Guatemala,Latin America and Caribbean,5.901,8.85,0.83,60.74,0.663,0.706,0.172,2006
Haiti,Latin America and Caribbean,3.754,7.407,0.694,48.46,0.449,0.854,0.401,2006
Honduras,Latin America and Caribbean,5.397,8.462,0.933,64.54,0.65,0.844,0.089,2006
Jamaica,Latin America and Caribbean,6.208,9.225,0.909,64.9,0.738,0.946,-0.004,2006
Nicaragua,Latin America and Caribbean,4.46,8.398,0.877,64.14,0.745,0.844,0.01,2006
Panama,Latin America and Caribbean,6.128,9.764,0.951,67.9,0.882,0.912,-0.047,2006
Paraguay,Latin America and Caribbean,4.73,9.088,0.895,63.62,0.691,0.841,0.066,2006
Peru,Latin America and Caribbean,4.811,8.989,0.875,65.34,0.668,0.895,-0.071,2006
Uruguay,Latin America and Caribbean,5.786,9.543,0.912,67.44,0.807,0.477,-0.113,2006
Venezuela,Latin America and Caribbean,6.525,9.46,0.946,65.46,0.798,0.646,-0.031,2006
Israel,Middle East and North Africa,7.173,10.389,0.927,71.12,0.817,0.905,0,2006
Kuwait,Middle East and North Africa,6.076,11.228,0.919,63.96,0.769,0.328,-0.236,2006
Lebanon,Middle East and North Africa,4.653,9.568,0.853,64.72,0.67,0.902,0.069,2006
Palestinian Territories,Middle East and North Africa,4.716,8.213,0.818,61.78,0.547,0.858,0,2006
United Arab Emirates,Middle East and North Africa,6.734,11.367,0.903,65.92,0.898,0.203,-0.033,2006
United States,North America and ANZ,7.182,10.924,0.965,68.06,0.911,0.6,0,2006
Bangladesh,South Asia,4.319,7.783,0.672,59.02,0.612,0.786,0.068,2006
India,South Asia,5.348,8.145,0.707,55.72,0.774,0.855,0,2006
Nepal,South Asia,4.567,7.616,0.874,57.2,0.689,0.897,0,2006
Sri Lanka,South Asia,4.345,8.912,0.864,65.78,0.724,0.838,0.062,2006
Cambodia,Southeast Asia,3.569,7.746,0.793,55.3,0,0.829,0.255,2006
Indonesia,Southeast Asia,4.947,8.85,0.771,59.84,0.713,0.915,0.347,2006
Laos,Southeast Asia,5.076,8.251,0.807,53.92,0.925,0.688,0.439,2006
Malaysia,Southeast Asia,6.012,9.839,0.866,64.96,0.837,0.74,0.201,2006
Philippines,Southeast Asia,4.67,8.562,0.795,59.8,0.828,0.841,0.063,2006
Singapore,Southeast Asia,6.463,11.168,0.904,73.6,0.757,0,0.138,2006
Thailand,Southeast Asia,5.885,9.461,0.894,64.14,0.863,0.935,0.331,2006
Vietnam,Southeast Asia,5.294,8.335,0.888,65.86,0.886,0,0.015,2006
Benin,Sub-Saharan Africa,3.33,7.866,0.445,50.1,0.58,0.79,-0.011,2006
Botswana,Sub-Saharan Africa,4.739,9.492,0.883,46.82,0.824,0.723,-0.195,2006
Burkina Faso,Sub-Saharan Africa,3.801,7.367,0.796,46.66,0.588,0.798,0.028,2006
Cameroon,Sub-Saharan Africa,3.851,8.007,0.69,45.98,0.653,0.907,-0.009,2006
Chad,Sub-Saharan Africa,3.435,7.36,0.724,43.18,0.306,0.961,0.028,2006
Ghana,Sub-Saharan Africa,4.535,8.073,0.728,52.34,0.849,0.814,0.213,2006
Kenya,Sub-Saharan Africa,4.223,8.039,0.909,50.22,0.616,0.86,-0.02,2006
Madagascar,Sub-Saharan Africa,3.98,7.376,0.711,54.04,0,0,-0.039,2006
Malawi,Sub-Saharan Africa,3.83,6.678,0.554,44.88,0.767,0.676,0.2,2006
Mali,Sub-Saharan Africa,4.014,7.593,0.761,45.92,0.555,0.761,-0.072,2006
Mozambique,Sub-Saharan Africa,4.595,6.776,0.879,44.8,0.684,0.758,0.041,2006
Niger,Sub-Saharan Africa,3.737,6.888,0.677,46.36,0.75,0.755,0.076,2006
Nigeria,Sub-Saharan Africa,4.71,8.326,0.735,44.12,0.649,0.871,0.085,2006
Rwanda,Sub-Saharan Africa,4.215,7.111,0.718,49.88,0.915,0.299,0,2006
Senegal,Sub-Saharan Africa,4.417,7.881,0.76,53.38,0.736,0.805,-0.051,2006
Sierra Leone,Sub-Saharan Africa,3.628,7.136,0.561,40.3,0.679,0.836,0.101,2006
South Africa,Sub-Saharan Africa,5.084,9.386,0.913,48.02,0.649,0,-0.084,2006
Tanzania,Sub-Saharan Africa,3.922,7.485,0.783,48.7,0.787,0.649,-0.027,2006
Togo,Sub-Saharan Africa,3.202,7.078,0.435,49.26,0.628,0.85,-0.007,2006
Uganda,Sub-Saharan Africa,3.734,7.37,0.76,46.48,0.747,0.807,-0.041,2006
Zambia,Sub-Saharan Africa,4.824,7.817,0.798,44.26,0.721,0.785,-0.006,2006
Zimbabwe,Sub-Saharan Africa,3.826,7.711,0.822,41.58,0.431,0.905,-0.076,2006
Austria,Western Europe,7.122,10.842,0.936,70.76,0.941,0.49,0.302,2006
Cyprus,Western Europe,6.238,10.566,0.878,71.44,0.836,0.712,0.018,2006
Finland,Western Europe,7.672,10.745,0.965,69.76,0.969,0.132,-0.005,2006
France,Western Europe,6.583,10.659,0.944,71.48,0.789,0.699,0.126,2006
Ireland,Western Europe,7.144,10.972,0.967,70.14,0.943,0.473,0.242,2006
Norway,Western Europe,7.416,11.031,0.959,71.32,0.96,0.397,0.109,2006
Portugal,Western Europe,5.405,10.36,0.905,69.84,0.882,0.88,-0.179,2006
Switzerland,Western Europe,7.473,11.05,0.951,71.54,0.919,0.408,0.29,2006
Cuba,Latin America and Caribbean,5.418,0,0.97,68.44,0.281,0,0,2006
Taiwan Province of China,East Asia,6.189,10.613,0.882,68.68,0.63,0.846,-0.03,2006
Trinidad and Tobago,Latin America and Caribbean,5.832,10.224,0.887,61.76,0.84,0.917,0.141,2006
Australia,Australia and New Zealand,7.285,10.703,0.965,71.72,0.891,0.513,0.347,2007
New Zealand,Australia and New Zealand,7.604,10.546,0.967,71.4,0.878,0.295,0.279,2007
Albania,Central and Eastern Europe,4.634,9.142,0.821,65.8,0.529,0.875,-0.009,2007
Bosnia and Herzegovina,Central and Eastern Europe,4.9,9.267,0.766,66.04,0.342,0.926,0.006,2007
Bulgaria,Central and Eastern Europe,3.844,9.715,0.832,65.1,0.566,0.976,-0.138,2007
Croatia,Central and Eastern Europe,5.821,10.162,0.91,67.12,0.662,0.934,-0.092,2007
Czech Republic,Central and Eastern Europe,6.5,10.437,0.9,67.44,0.799,0.928,-0.063,2007
Estonia,Central and Eastern Europe,5.332,10.347,0.896,65.32,0.712,0.743,-0.246,2007
Hungary,Central and Eastern Europe,4.954,10.153,0.931,65,0.538,0.895,-0.161,2007
Kosovo,Central and Eastern Europe,5.104,8.928,0.848,0,0.381,0.894,0.144,2007
Latvia,Central and Eastern Europe,4.667,10.136,0.836,63.52,0.7,0.924,-0.167,2007
Lithuania,Central and Eastern Europe,5.808,10.163,0.941,63.48,0.59,0.966,-0.282,2007
Montenegro,Central and Eastern Europe,5.196,9.693,0.832,66.2,0.512,0.815,-0.134,2007
North Macedonia,Central and Eastern Europe,4.494,9.416,0.811,64.095,0.439,0.87,0.08,2007
Poland,Central and Eastern Europe,5.886,9.978,0.913,66.7,0.772,0.925,-0.047,2007
Romania,Central and Eastern Europe,5.394,9.892,0.736,64.48,0.686,0.949,-0.188,2007
Serbia,Central and Eastern Europe,4.75,9.532,0.844,65.6,0.453,0.905,-0.165,2007
Armenia,Commonwealth of Independent States,4.882,9.181,0.76,64.9,0.605,0.817,-0.251,2007
Azerbaijan,Commonwealth of Independent States,4.568,9.386,0.753,62.26,0.522,0.871,-0.207,2007
Belarus,Commonwealth of Independent States,5.617,9.576,0.858,61.4,0.667,0.695,-0.225,2007
Georgia,Commonwealth of Independent States,3.707,9.117,0.548,65.04,0.464,0.697,-0.267,2007
Kazakhstan,Commonwealth of Independent States,5.719,9.878,0.861,58.7,0.806,0.865,-0.246,2007
