Data

"Lagos                 18,119              15        15,228              0         202          0         2,689                   0"
"FCT                    5,156               7         1,531              7           50         0         3,575                   0"
"Oyo                    3,118              11         1,952              0           37         0         1,129                   0"
"Edo                    2,578               1         2,300             0          100          0           178                   0"
"Plateau                2,498              55         1,374            46           29          0         1,095                   0"
"Rivers                 2,141               7         1,969             9           57          0           115                   0"
"Kaduna                 2,120               6         1,977            27           12          0           131                   0"
"Delta                  1,744               0         1,540             0           47          0           157                   1"
"Kano                   1,725               0         1,537             0           54          0           134                   2"
"Ogun                   1,646               0         1,489             1           26          0           131                   1"
"Ondo                   1,539               5         1,380            20           31          0           128                   0"
"Enugu                  1,155               0           907             0            21         0           227                   1"
"Ebonyi                   984              11           931             0            27         0            26                   0"
"Kwara                    961               3           773             0            25         0           163                   0"
"Katsina                  789               0           457             0            24         0           308                   2"
"Osun                     779               0           732             3            17         1            30                   1"
"Abia                     771               8           697            28             8         1            66                   0"
"Borno                    740               0           667             0            36         0            37                   7"
"Gombe                    723               0           636             0            23         0            64                   1"
"Bauchi                   667               1           581            31            14         0            72                   0"
"Imo                      527               0           193             0            11         0           323                   1"
"Benue                    452               1           216             0             9         0           227                   0"
"Nasarawa                 434               0           298             0            12         0           124                   1"
"Bayelsa                  391               0           345             0            21         0            25                   1"
"Jigawa                   322               0           308             0            11         0             3                  45"
"Akwa Ibom                278               0           229             0             8         0            41                   3"
"Ekiti                    262               0           203            18             4         0            55                   1"
"Niger                    241               0           214             0            12         0            15                   3"
"Adamawa                  221               0           180             0            15         0            26                   1"
"Anambra                  214               7           168             9            18         0            28                   0"
"Sokoto                   158               0           138             0            16         0             4                   7"
"Kebbi                     93               0            82             0             8         0             3                   2"
"Taraba                    87               0            73             0             5         0             9                   5"
"Cross River               82               0            73             0             8         0             1                   6"
"Zamfara                   78               0            73             0             5         0             0                  10"
"Yobe                       67              0             59             0            8         0              0                 31"
"Kogi                       5              0              3             0            2          0            0                   58"
